Judul|Pengarang|Favorit
Living like a Villain|Gamsakk / Masik Lee|603754
Second Life of a Gangster|SAYEOL / yerang|896437
Absolute Sword Sense|TI / KDRM|26328
Vigilante|kim kyusam / CRG|85156
Bloodhounds|Jeong Chan|39182
My 990,000 Past Lives Help Me|Marucomics / Invader|87755
18-Year-Old Spy|kimjuin / teamggulbal|175263
Ultra-Alternate Character|JIXKSEE|262743
Fight Class 3|LEE HAK|727954
The Rules of the Game |YUTIST|121466
The First Hunter|Chanwook Jeon / dedart|318087
Soul of the Wind|SEO HYEON-JIN / WOLIN|61943
Terror Man|HAN DONG-WOO / KO JIN-HO|362657
FIGHTER|JUN SANG YOUNG / DAYWALKER|27793
LOSER LIFE|Taejoon Park / Sunwook jeon|2900000
King of the Octagon|GOPUBI|148437
Return of Sword Master|BIGA / LICO|1700000
Noblesse|Jeho Son / Kwangsu Lee|47200000
White Blood|Lim lina|6300000
CHANGE|JINONE|22300000
The Boxer|JH|300000
Trouble Maker|M.E.A.W|324022
Noblesse spin-off|Jeho Son / Kwangsu Lee|890283
Reawaken Man|CHAE YONGTAEK / KIM JAE HAN|5900000
100|Hyeong Eun / Yunyeol Choi|292570
Nan Yak|HYUNJOO JEONG / JINHWAN PARK|6300000
Webtoon Legends: Girls of the Wild's|HUN / ZHENA|6100000
Kawan Kelam|Lee JongHyeok|2400000
Zombie Fight|Lee JongHyeok|687320
The God of High School|Yongje Park|20400000
Ambivalent|Dedy Koerniawan|234780
DICE|Hyunseok Yun|11400000
SAMADHI|LEE WONSIK / Ggulchan|460773
The Age of Cruelty|Jang Daehyeon / IRON Shin|135519
Occult|SHIN JIN WOO / CHOI BONG GEUN|714905
Magical Change|Pal6|777077
Locker, Opener|Maanchwee / BARUNFLOWER|634668
Minus Hand|KDee|1300000
HIVE|Kyusam Kim|662170
ALPHA|Bookyeom|405423
Nano Mashin|GGBG / Great H|4700000
Return of the Mad Demon|JP / Ihy|621602
BRANDAL|METAKOMIK|271934
Return to Player|UMKY / SEHON|100000
The Real Lesson|CHAE YONGTAEK / HAN GARAM|10600000
Troll Trap|U.bi|8500000
Jungle Juice|Hyeong Eun / Juder|2200000
To Not Die|Parae / Lim Jin Guk|1400000
What the Folk|nasibungkus|37675
Neon Revenge|Gisong / NemGa|946944
Castle|JEONG YEON|1900000
Hallim Gym|Hye seong / Lee Suk Jae|1200000
Beyond Max Level|HONGSIL / MINo|1400000
Caravan 97|Mada_Fadaz|90553
The Era of Overman|supp|1900000
WEE!!!|Amoeba UwU|16500000
NGARTOON|LINE WEBTOON|210165
Pupus Putus Sekolah|Kurnia Harta Winata|5800000
OTENBA|Dihocchi|1100000
Bima, Temanku yang Imut|telormatasappi|300000
Ngopi, yuk!|Sisifafa / Romy Hernadi|34500000
Her Twin Brothers!|aizonoodle|169963
Pak Guru Inyong: Pendidikan Khusus|Anggoro Ihank|903092
Dulu Gwe(n) Pernah|Sisifafa / Romy Hernadi|21500000
Hannah Nala|Egimugia|3800000
SMAS'D|Oja Aritonang|12800000
Gula-Gula|idachann_|735712
When We Were Fifteen|Hanin Naqib|208750
Anak Bapak|A_Catnoda|683033
When Monday Met Sunday|SENYUMAN|272315
FIGHTER|JUN SANG YOUNG / DAYWALKER|27793
Seoulmate|aT Center|144212
WiraDelima|Qoni|6200000
Lazy Cooking|Sibbil|7500000
